implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
cppad,dierfj,true,false,false,false,true,false,false,3003,3003,31600,3.4198978690
cppad,dierfj,false,false,false,false,true,false,false,3003,3003,31600,3.4030849300
cppad,dierfj,true,false,true,false,false,true,false,3003,3003,31600,0.0134723756
cppad,dierfj,false,false,true,false,false,true,false,3003,3003,31600,0.0135906480
cppad,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0136949592
cppad,dierfj,false,false,false,false,false,true,false,3003,3003,31600,0.0133653124
cppad,dierfj,true,false,true,false,false,false,false,3003,3003,31600,0.0355249135
cppad,dierfj,false,false,true,false,false,false,false,3003,3003,31600,0.0346075895
cppad,dierfj,true,false,false,false,false,false,false,3003,3003,31600,0.0377525018
cppad,dierfj,false,false,false,false,false,false,false,3003,3003,31600,0.0344573643
cppad,deptfg,true,false,true,true,true,false,false,3600,1,10680,1.7139614190
cppad,deptfg,false,false,true,true,true,false,false,3600,1,10680,2.3323266880
cppad,deptfg,true,false,false,true,true,false,false,3600,1,10680,1.6646459210
cppad,deptfg,false,false,false,true,true,false,false,3600,1,10680,2.3576273230
cppad,deptfg,true,false,true,true,false,false,false,3600,1,10680,1.7198365930
cppad,deptfg,false,false,true,true,false,false,false,3600,1,10680,2.3904579580
cppad,deptfg,true,false,false,true,false,false,false,3600,1,10680,1.6353449650
cppad,deptfg,false,false,false,true,false,false,false,3600,1,10680,2.3690254850
cppad,deptfg,true,false,true,false,true,false,false,3600,1,10680,0.0630514109
cppad,deptfg,false,false,true,false,true,false,false,3600,1,10680,0.0947465476
cppad,deptfg,true,false,false,false,true,false,false,3600,1,10680,0.0821126944
cppad,deptfg,false,false,false,false,true,false,false,3600,1,10680,0.1264987802
cppad,deptfg,true,false,true,false,false,false,false,3600,1,10680,0.0569749191
cppad,deptfg,false,false,true,false,false,false,false,3600,1,10680,0.0939316430
cppad,deptfg,true,false,false,false,false,false,false,3600,1,10680,0.0768529378
cppad,deptfg,false,false,false,false,false,false,false,3600,1,10680,0.1252483830
cppad,dgl1fg,true,false,true,true,true,false,false,5000,1,10000,1.3805900220
cppad,dgl1fg,false,false,true,true,true,false,false,5000,1,10000,2.1361241440
cppad,dgl1fg,true,false,false,true,true,false,false,5000,1,10000,1.2410514490
cppad,dgl1fg,false,false,false,true,true,false,false,5000,1,10000,2.0068440290
cppad,dgl1fg,true,false,true,true,false,false,false,5000,1,10000,1.4343660770
cppad,dgl1fg,false,false,true,true,false,false,false,5000,1,10000,2.1507383260
cppad,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,1.3191976550
cppad,dgl1fg,false,false,false,true,false,false,false,5000,1,10000,1.9897363650
cppad,dgl1fg,true,false,true,false,true,false,false,5000,1,10000,0.0547093751
cppad,dgl1fg,false,false,true,false,true,false,false,5000,1,10000,0.0722283247
cppad,dgl1fg,true,false,false,false,true,false,false,5000,1,10000,0.0825235866
cppad,dgl1fg,false,false,false,false,true,false,false,5000,1,10000,0.1092511267
cppad,dgl1fg,true,false,true,false,false,false,false,5000,1,10000,0.0533395276
cppad,dgl1fg,false,false,true,false,false,false,false,5000,1,10000,0.0695756774
cppad,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.0819108724
cppad,dgl1fg,false,false,false,false,false,false,false,5000,1,10000,0.1036716745
subgraph,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.2275508130
subgraph,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.1307968600
subgraph,dficfj,false,false,true,false,true,false,false,3200,3200,24787,0.0711333929
subgraph,dficfj,false,false,false,false,true,false,false,3200,3200,24787,0.0775717544
subgraph,dierfj,false,false,true,true,true,false,false,3003,3003,31600,0.1661114705
subgraph,dierfj,false,false,false,true,true,false,false,3003,3003,31600,0.0885607623
subgraph,dierfj,false,false,true,false,true,false,false,3003,3003,31600,0.0513513922
subgraph,dierfj,false,false,false,false,true,false,false,3003,3003,31600,0.0499814488
subgraph,deptfg,false,false,true,true,true,false,false,3600,1,10680,0.2333090901
subgraph,deptfg,false,false,false,true,true,false,false,3600,1,10680,0.2419454835
subgraph,deptfg,false,false,true,false,true,false,false,3600,1,10680,0.0571212387
subgraph,deptfg,false,false,false,false,true,false,false,3600,1,10680,0.1275635806
subgraph,dgl1fg,false,false,true,true,true,false,false,5000,1,10000,0.5084111550
subgraph,dgl1fg,false,false,false,true,true,false,false,5000,1,10000,0.4444538778
subgraph,dgl1fg,false,false,true,false,true,false,false,5000,1,10000,0.1134595693
subgraph,dgl1fg,false,false,false,false,true,false,false,5000,1,10000,0.2313839674
adolc,dficfj,true,false,false,true,true,true,false,3200,3200,24787,0.3093410772
adolc,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.2917749890
adolc,dficfj,true,false,false,false,true,true,false,3200,3200,24787,0.0290687201
adolc,dficfj,true,false,false,false,false,true,false,3200,3200,24787,0.0152718831
adolc,dierfj,true,false,false,true,true,true,false,3003,3003,31600,1.4808953360
adolc,dierfj,true,false,false,true,false,true,false,3003,3003,31600,0.1871342469
adolc,dierfj,true,false,false,false,true,true,false,3003,3003,31600,1.1248106460
adolc,dierfj,true,false,false,false,false,true,false,3003,3003,31600,0.0132719412
adolc,deptfg,true,true,false,true,false,false,false,3600,1,14161,1.1881096920
adolc,deptfg,true,false,false,true,false,false,false,3600,1,14161,1.1555062120
adolc,deptfg,true,true,false,false,false,false,false,3600,1,14161,0.2405127210
adolc,deptfg,true,false,false,false,false,false,false,3600,1,14161,0.2001903888
adolc,dgl1fg,true,true,false,true,false,false,false,5000,1,10000,2.3703909260
adolc,dgl1fg,true,false,false,true,false,false,false,5000,1,10000,2.1946841740
adolc,dgl1fg,true,true,false,false,false,false,false,5000,1,10000,0.2309970761
adolc,dgl1fg,true,false,false,false,false,false,false,5000,1,10000,0.1874286283
cppad,dficfj,true,false,true,true,true,false,false,3200,3200,24787,0.2609519675
cppad,dficfj,false,false,true,true,true,false,false,3200,3200,24787,0.2415805015
cppad,dficfj,true,false,false,true,true,false,false,3200,3200,24787,0.1594906346
cppad,dficfj,false,false,false,true,true,false,false,3200,3200,24787,0.1471419162
cppad,dficfj,true,false,true,true,false,true,false,3200,3200,24787,0.1896325714
cppad,dficfj,false,false,true,true,false,true,false,3200,3200,24787,0.1756673269
cppad,dficfj,true,false,false,true,false,true,false,3200,3200,24787,0.0919018244
cppad,dficfj,false,false,false,true,false,true,false,3200,3200,24787,0.0770421156
cppad,dficfj,true,false,true,true,false,false,false,3200,3200,24787,0.2108988244
